second,Volt,Volt.1
-0.00208865,4.929648341,-0.723618105
-0.00208365,4.937186029,-0.603015088
-0.00207865,4.809045323,-0.783919614
-0.00207365,4.937186029,-0.844221123
-0.00206865,4.876884521,-0.783919614
-0.00206365,4.8241207,-0.949748763
-0.00205865,4.756281503,-0.783919614
-0.00205365,4.8241207,-0.836683434
-0.00204865,4.884422209,-0.896984943
-0.00204365,4.937186029,-0.96482414
-0.00203865,4.884422209,-0.904522631
-0.00203365,4.937186029,-0.96482414
-0.00202865,4.8241207,-1.085427158
-0.00202365,4.8241207,-0.844221123
-0.00201865,4.884422209,-0.949748763
-0.00201365,4.8241207,-1.198492486
-0.00200865,4.756281503,-1.266331684
-0.00200365,4.8241207,-1.085427158
-0.00199865,4.884422209,-1.258793995
-0.00199365,4.8241207,-1.206030175
-0.00198865,4.884422209,-1.266331684
-0.00198365,4.8241207,-1.213567864
-0.00197865,4.8241207,-1.206030175
-0.00197365,4.8241207,-1.206030175
-0.00196865,4.884422209,-1.326633193
-0.00196365,4.8241207,-1.439698522
-0.00195865,4.831658389,-1.379397013
-0.00195365,4.937186029,-1.439698522
-0.00194865,4.884422209,-1.44723621
-0.00194365,4.8241207,-1.44723621
-0.00193865,4.8241207,-1.379397013
-0.00193365,4.8241207,-1.454773899
-0.00192865,4.8241207,-1.507537719
-0.00192365,4.8241207,-1.44723621
-0.00191865,4.8241207,-1.620603048
-0.00191365,4.8241207,-1.688442245
-0.00190865,4.884422209,-1.673366868
-0.00190365,4.8241207,-1.688442245
-0.00189865,4.756281503,-1.741206065
-0.00189365,4.8241207,-1.575376916
-0.00188865,4.884422209,-1.741206065
-0.00188365,4.816583012,-1.809045263
-0.00187865,4.8241207,-1.861809083
-0.00187365,4.944723718,-1.922110592
-0.00186865,4.831658389,-1.92964828
-0.00186365,4.944723718,-1.809045263
-0.00185865,4.8241207,-1.989949789
-0.00185365,4.8241207,-1.92964828
-0.00184865,4.8241207,-1.989949789
-0.00184365,4.816583012,-2.050251298
-0.00183865,4.8241207,-2.050251298
-0.00183365,4.8241207,-2.050251298
-0.00182865,4.876884521,-2.050251298
-0.00182365,4.8241207,-2.155778938
-0.00181865,4.884422209,-2.170854315
-0.00181365,4.8241207,-2.050251298
-0.00180865,4.884422209,-2.170854315
-0.00180365,4.937186029,-2.283919644
-0.00179865,4.8241207,-2.231155824
-0.00179365,4.8241207,-2.178392004
-0.00178865,4.8241207,-2.344221153
-0.00178365,4.816583012,-2.170854315
-0.00177865,4.8241207,-2.344221153
-0.00177365,4.8241207,-2.291457333
